,Year,Trim,prediccion
0,2019,1,123.18458158195395
1,2019,2,123.7898077441953
2,2019,3,124.39503390643665
3,2019,4,125.000260068678
4,2020,1,132.55464885298233
5,2020,2,133.15987501522366
6,2020,3,133.765101177465
7,2020,4,134.37032733970636
8,2021,1,141.92471612401067
9,2021,2,142.52994228625204
10,2021,3,143.13516844849337
11,2021,4,143.7403946107347
12,2022,1,151.29478339503902
13,2022,2,151.90000955728038
14,2022,3,152.50523571952172
15,2022,4,153.11046188176306
16,2023,1,160.6648506660674
17,2023,2,161.27007682830873
18,2023,3,161.8753029905501
19,2023,4,162.48052915279143
20,2024,1,170.03491793709574
21,2024,2,170.64014409933708
22,2024,3,171.24537026157844
23,2024,4,171.85059642381978
