,Year,Trim,y hat
0,2019,1,124.05667434146017
1,2019,2,125.15730731387157
2,2019,3,126.25794028628297
3,2019,4,127.35857325869438
4,2020,1,133.80664167589202
5,2020,2,134.90727464830343
6,2020,3,136.00790762071483
7,2020,4,137.10854059312987
8,2021,1,143.55660901032388
9,2021,2,144.6572419827353
10,2021,3,145.75787495515033
11,2021,4,146.85850792756173
12,2022,1,153.30657634475574
13,2022,2,154.40720931716714
14,2022,3,155.5078422895822
15,2022,4,156.6084752619936
16,2023,1,163.0565436791876
17,2023,2,164.15717665160264
18,2023,3,165.25780962401404
19,2023,4,166.35844259642545
20,2024,1,172.80651101361946
21,2024,2,173.9071439860345
22,2024,3,175.0077769584459
23,2024,4,176.1084099308573
